,FIPS,County or equivalent,State or equivalent
2801,48379,Rains County,Texas
2802,48381,Randall County,Texas
2803,48383,Reagan County,Texas
2804,48385,Real County,Texas
2805,48387,Red River County,Texas
2806,48389,Reeves County,Texas
2807,48391,Refugio County,Texas
2808,48393,Roberts County,Texas
2809,48395,Robertson County,Texas
2810,48397,Rockwall County,Texas
2811,48399,Runnels County,Texas
2812,48401,Rusk County,Texas
2813,48403,Sabine County,Texas
2814,48405,San Augustine County,Texas
2815,48407,San Jacinto County,Texas
2816,48409,San Patricio County,Texas
2817,48411,San Saba County,Texas
2818,48413,Schleicher County,Texas
2819,48415,Scurry County,Texas
2820,48417,Shackelford County,Texas
2821,48419,Shelby County,Texas
2822,48421,Sherman County,Texas
2823,48423,Smith County,Texas
2824,48425,Somervell County,Texas
2825,48427,Starr County,Texas
2826,48429,Stephens County,Texas
2827,48431,Sterling County,Texas
2828,48433,Stonewall County,Texas
2829,48435,Sutton County,Texas
2830,48437,Swisher County,Texas
2831,48439,Tarrant County,Texas
2832,48441,Taylor County,Texas
2833,48443,Terrell County,Texas
2834,48445,Terry County,Texas
2835,48447,Throckmorton County,Texas
2836,48449,Titus County,Texas
2837,48451,Tom Green County,Texas
2838,48453,Travis County,Texas
2839,48455,Trinity County,Texas
2840,48457,Tyler County,Texas
2841,48459,Upshur County,Texas
2842,48461,Upton County,Texas
2843,48463,Uvalde County,Texas
2844,48465,Val Verde County,Texas
2845,48467,Van Zandt County,Texas
2846,48469,Victoria County,Texas
2847,48471,Walker County,Texas
2848,48473,Waller County,Texas
2849,48475,Ward County,Texas
2850,48477,Washington County,Texas
2851,48479,Webb County,Texas
2852,48481,Wharton County,Texas
2853,48483,Wheeler County,Texas
2854,48485,Wichita County,Texas
2855,48487,Wilbarger County,Texas
2856,48489,Willacy County,Texas
2857,48491,Williamson County,Texas
2858,48493,Wilson County,Texas
2859,48495,Winkler County,Texas
2860,48497,Wise County,Texas
2861,48499,Wood County,Texas
2862,48501,Yoakum County,Texas
2863,48503,Young County,Texas
2864,48505,Zapata County,Texas
2865,48507,Zavala County,Texas
2866,74050,Baker Island[4][v],U.S. Minor Outlying Islands
2867,74100,Howland Island[v],U.S. Minor Outlying Islands
2868,74150,Jarvis Island[v],U.S. Minor Outlying Islands
2869,74200,Johnston Atoll[v],U.S. Minor Outlying Islands
2870,74250,Kingman Reef[v],U.S. Minor Outlying Islands
2871,74300,Midway Islands[v],U.S. Minor Outlying Islands
2872,74350,Navassa Island[v],U.S. Minor Outlying Islands
2873,74400,Palmyra Atoll[v],U.S. Minor Outlying Islands
2874,74450,Wake Island[v],U.S. Minor Outlying Islands
2875,49001,Beaver County,Utah
2876,49003,Box Elder County,Utah
2877,49005,Cache County,Utah
2878,49007,Carbon County,Utah
2879,49009,Daggett County,Utah
2880,49011,Davis County,Utah
2881,49013,Duchesne County,Utah
2882,49015,Emery County,Utah
2883,49017,Garfield County,Utah
2884,49019,Grand County,Utah
2885,49021,Iron County,Utah
2886,49023,Juab County,Utah
2887,49025,Kane County,Utah
2888,49027,Millard County,Utah
2889,49029,Morgan County,Utah
2890,49031,Piute County,Utah
2891,49033,Rich County,Utah
2892,49035,Salt Lake County,Utah
2893,49037,San Juan County,Utah
2894,49039,Sanpete County,Utah
2895,49041,Sevier County,Utah
2896,49043,Summit County,Utah
2897,49045,Tooele County,Utah
2898,49047,Uintah County,Utah
2899,49049,Utah County,Utah
2900,49051,Wasatch County,Utah
2901,49053,Washington County,Utah
2902,49055,Wayne County,Utah
2903,49057,Weber County,Utah
2904,50001,Addison County,Vermont
2905,50003,Bennington County,Vermont
2906,50005,Caledonia County,Vermont
2907,50007,Chittenden County,Vermont
2908,50009,Essex County,Vermont
2909,50011,Franklin County,Vermont
2910,50013,Grand Isle County,Vermont
2911,50015,Lamoille County,Vermont
2912,50017,Orange County,Vermont
2913,50019,Orleans County,Vermont
2914,50021,Rutland County,Vermont
2915,50023,Washington County,Vermont
2916,50025,Windham County,Vermont
2917,50027,Windsor County,Vermont
2918,78010,Saint Croix Island[3],Virgin Islands (U.S.)
2919,78020,Saint John Island,Virgin Islands (U.S.)
2920,78030,Saint Thomas Island,Virgin Islands (U.S.)
2921,51001,Accomack County,Virginia
2922,51003,Albemarle County,Virginia
2923,51005,Alleghany County,Virginia
2924,51007,Amelia County,Virginia
2925,51009,Amherst County,Virginia
2926,51011,Appomattox County,Virginia
2927,51013,Arlington County,Virginia
2928,51015,Augusta County,Virginia
2929,51017,Bath County,Virginia
2930,51019,Bedford County[w],Virginia
2931,51021,Bland County,Virginia
2932,51023,Botetourt County,Virginia
2933,51025,Brunswick County,Virginia
2934,51027,Buchanan County,Virginia
2935,51029,Buckingham County,Virginia
2936,51031,Campbell County,Virginia
2937,51033,Caroline County,Virginia
2938,51035,Carroll County,Virginia
2939,51036,Charles City County,Virginia
2940,51037,Charlotte County,Virginia
2941,51041,Chesterfield County,Virginia
2942,51043,Clarke County,Virginia
2943,51045,Craig County,Virginia
2944,51047,Culpeper County,Virginia
2945,51049,Cumberland County,Virginia
2946,51051,Dickenson County,Virginia
2947,51053,Dinwiddie County,Virginia
2948,51057,Essex County,Virginia
2949,51059,Fairfax County,Virginia
2950,51061,Fauquier County,Virginia
2951,51063,Floyd County,Virginia
2952,51065,Fluvanna County,Virginia
2953,51067,Franklin County,Virginia
2954,51069,Frederick County,Virginia
2955,51071,Giles County,Virginia
2956,51073,Gloucester County,Virginia
2957,51075,Goochland County,Virginia
2958,51077,Grayson County,Virginia
2959,51079,Greene County,Virginia
2960,51081,Greensville County,Virginia
2961,51083,Halifax County,Virginia
2962,51085,Hanover County,Virginia
2963,51087,Henrico County,Virginia
2964,51089,Henry County,Virginia
2965,51091,Highland County,Virginia
2966,51093,Isle of Wight County,Virginia
2967,51095,James City County,Virginia
2968,51097,King and Queen County,Virginia
2969,51099,King George County,Virginia
2970,51101,King William County,Virginia
2971,51103,Lancaster County,Virginia
2972,51105,Lee County,Virginia
2973,51107,Loudoun County,Virginia
2974,51109,Louisa County,Virginia
2975,51111,Lunenburg County,Virginia
2976,51113,Madison County,Virginia
2977,51115,Mathews County,Virginia
2978,51117,Mecklenburg County,Virginia
2979,51119,Middlesex County,Virginia
2980,51121,Montgomery County,Virginia
2981,51125,Nelson County,Virginia
2982,51127,New Kent County,Virginia
2983,51131,Northampton County,Virginia
2984,51133,Northumberland County,Virginia
2985,51135,Nottoway County,Virginia
2986,51137,Orange County,Virginia
2987,51139,Page County,Virginia
2988,51141,Patrick County,Virginia
2989,51143,Pittsylvania County,Virginia
2990,51145,Powhatan County,Virginia
2991,51147,Prince Edward County,Virginia
2992,51149,Prince George County,Virginia
2993,51153,Prince William County,Virginia
2994,51155,Pulaski County,Virginia
2995,51157,Rappahannock County,Virginia
2996,51159,Richmond County,Virginia
2997,51161,Roanoke County,Virginia
2998,51163,Rockbridge County,Virginia
2999,51165,Rockingham County,Virginia
3000,51167,Russell County,Virginia
3001,51169,Scott County,Virginia
3002,51171,Shenandoah County,Virginia
3003,51173,Smyth County,Virginia
3004,51175,Southampton County,Virginia
3005,51177,Spotsylvania County,Virginia
3006,51179,Stafford County,Virginia
3007,51181,Surry County,Virginia
3008,51183,Sussex County,Virginia
3009,51185,Tazewell County,Virginia
3010,51187,Warren County,Virginia
3011,51191,Washington County,Virginia
3012,51193,Westmoreland County,Virginia
3013,51195,Wise County,Virginia
3014,51197,Wythe County,Virginia
3015,51199,York County,Virginia
3016,51510,"Alexandria, City of[x]",Virginia
3017,51520,"Bristol, City of[x]",Virginia
3018,51530,"Buena Vista, City of[x]",Virginia
3019,51540,"Charlottesville, City of[x]",Virginia
3020,51550,"Chesapeake, City of[x]",Virginia
3021,51570,"Colonial Heights, City of[x]",Virginia
3022,51580,"Covington, City of[x]",Virginia
3023,51590,"Danville, City of[x]",Virginia
3024,51595,"Emporia, City of[x]",Virginia
3025,51600,"Fairfax, City of[x]",Virginia
3026,51610,"Falls Church, City of[x]",Virginia
3027,51620,"Franklin, City of[x]",Virginia
3028,51630,"Fredericksburg, City of[x]",Virginia
3029,51640,"Galax, City of[x]",Virginia
3030,51650,"Hampton, City of[x]",Virginia
3031,51660,"Harrisonburg, City of[x]",Virginia
3032,51670,"Hopewell, City of[x]",Virginia
3033,51678,"Lexington, City of[x]",Virginia
3034,51680,"Lynchburg, City of[x]",Virginia
3035,51683,"Manassas, City of[x]",Virginia
3036,51685,"Manassas Park, City of[x]",Virginia
3037,51690,"Martinsville, City of[x]",Virginia
3038,51700,"Newport News, City of[x]",Virginia
3039,51710,"Norfolk, City of[x]",Virginia
3040,51720,"Norton, City of[x]",Virginia
3041,51730,"Petersburg, City of[x]",Virginia
3042,51735,"Poquoson, City of[x]",Virginia
3043,51740,"Portsmouth, City of[x]",Virginia
3044,51750,"Radford, City of[x]",Virginia
3045,51760,"Richmond, City of[x]",Virginia
3046,51770,"Roanoke, City of[x]",Virginia
3047,51775,"Salem, City of[x]",Virginia
3048,51790,"Staunton, City of[x]",Virginia
3049,51800,"Suffolk, City of[x]",Virginia
3050,51810,"Virginia Beach, City of[x]",Virginia
3051,51820,"Waynesboro, City of[x]",Virginia
3052,51830,"Williamsburg, City of[x]",Virginia
3053,51840,"Winchester, City of[x]",Virginia
3054,53001,Adams County,Washington
3055,53003,Asotin County,Washington
3056,53005,Benton County,Washington
3057,53007,Chelan County,Washington
3058,53009,Clallam County,Washington
3059,53011,Clark County,Washington
3060,53013,Columbia County,Washington
3061,53015,Cowlitz County,Washington
3062,53017,Douglas County,Washington
3063,53019,Ferry County,Washington
3064,53021,Franklin County,Washington
3065,53023,Garfield County,Washington
3066,53025,Grant County,Washington
3067,53027,Grays Harbor County,Washington
3068,53029,Island County,Washington
3069,53031,Jefferson County,Washington
3070,53033,King County,Washington
3071,53035,Kitsap County,Washington
3072,53037,Kittitas County,Washington
3073,53039,Klickitat County,Washington
3074,53041,Lewis County,Washington
3075,53043,Lincoln County,Washington
3076,53045,Mason County,Washington
3077,53047,Okanogan County,Washington
3078,53049,Pacific County,Washington
3079,53051,Pend Oreille County,Washington
3080,53053,Pierce County,Washington
3081,53055,San Juan County,Washington
3082,53057,Skagit County,Washington
3083,53059,Skamania County,Washington
3084,53061,Snohomish County,Washington
3085,53063,Spokane County,Washington
3086,53065,Stevens County,Washington
3087,53067,Thurston County,Washington
3088,53069,Wahkiakum County,Washington
3089,53071,Walla Walla County,Washington
3090,53073,Whatcom County,Washington
3091,53075,Whitman County,Washington
3092,53077,Yakima County,Washington
3093,54001,Barbour County,West Virginia
3094,54003,Berkeley County,West Virginia
3095,54005,Boone County,West Virginia
3096,54007,Braxton County,West Virginia
3097,54009,Brooke County,West Virginia
3098,54011,Cabell County,West Virginia
3099,54013,Calhoun County,West Virginia
3100,54015,Clay County,West Virginia
3101,54017,Doddridge County,West Virginia
3102,54019,Fayette County,West Virginia
3103,54021,Gilmer County,West Virginia
3104,54023,Grant County,West Virginia
3105,54025,Greenbrier County,West Virginia
3106,54027,Hampshire County,West Virginia
3107,54029,Hancock County,West Virginia
3108,54031,Hardy County,West Virginia
3109,54033,Harrison County,West Virginia
3110,54035,Jackson County,West Virginia
3111,54037,Jefferson County,West Virginia
3112,54039,Kanawha County,West Virginia
3113,54041,Lewis County,West Virginia
3114,54043,Lincoln County,West Virginia
3115,54045,Logan County,West Virginia
3116,54047,McDowell County,West Virginia
3117,54049,Marion County,West Virginia
3118,54051,Marshall County,West Virginia
3119,54053,Mason County,West Virginia
3120,54055,Mercer County,West Virginia
3121,54057,Mineral County,West Virginia
3122,54059,Mingo County,West Virginia
3123,54061,Monongalia County,West Virginia
3124,54063,Monroe County,West Virginia
3125,54065,Morgan County,West Virginia
3126,54067,Nicholas County,West Virginia
3127,54069,Ohio County,West Virginia
3128,54071,Pendleton County,West Virginia
3129,54073,Pleasants County,West Virginia
3130,54075,Pocahontas County,West Virginia
3131,54077,Preston County,West Virginia
3132,54079,Putnam County,West Virginia
3133,54081,Raleigh County,West Virginia
3134,54083,Randolph County,West Virginia
3135,54085,Ritchie County,West Virginia
3136,54087,Roane County,West Virginia
3137,54089,Summers County,West Virginia
3138,54091,Taylor County,West Virginia
3139,54093,Tucker County,West Virginia
3140,54095,Tyler County,West Virginia
3141,54097,Upshur County,West Virginia
3142,54099,Wayne County,West Virginia
3143,54101,Webster County,West Virginia
3144,54103,Wetzel County,West Virginia
3145,54105,Wirt County,West Virginia
3146,54107,Wood County,West Virginia
3147,54109,Wyoming County,West Virginia
3148,55001,Adams County,Wisconsin
3149,55003,Ashland County,Wisconsin
3150,55005,Barron County,Wisconsin
3151,55007,Bayfield County,Wisconsin
3152,55009,Brown County,Wisconsin
3153,55011,Buffalo County,Wisconsin
3154,55013,Burnett County,Wisconsin
3155,55015,Calumet County,Wisconsin
3156,55017,Chippewa County,Wisconsin
3157,55019,Clark County,Wisconsin
3158,55021,Columbia County,Wisconsin
3159,55023,Crawford County,Wisconsin
3160,55025,Dane County,Wisconsin
3161,55027,Dodge County,Wisconsin
3162,55029,Door County,Wisconsin
3163,55031,Douglas County,Wisconsin
3164,55033,Dunn County,Wisconsin
3165,55035,Eau Claire County,Wisconsin
3166,55037,Florence County,Wisconsin
3167,55039,Fond du Lac County,Wisconsin
3168,55041,Forest County,Wisconsin
3169,55043,Grant County,Wisconsin
3170,55045,Green County,Wisconsin
3171,55047,Green Lake County,Wisconsin
3172,55049,Iowa County,Wisconsin
3173,55051,Iron County,Wisconsin
3174,55053,Jackson County,Wisconsin
3175,55055,Jefferson County,Wisconsin
3176,55057,Juneau County,Wisconsin
3177,55059,Kenosha County,Wisconsin
3178,55061,Kewaunee County,Wisconsin
3179,55063,La Crosse County,Wisconsin
3180,55065,Lafayette County,Wisconsin
3181,55067,Langlade County,Wisconsin
3182,55069,Lincoln County,Wisconsin
3183,55071,Manitowoc County,Wisconsin
3184,55073,Marathon County,Wisconsin
3185,55075,Marinette County,Wisconsin
3186,55077,Marquette County,Wisconsin
3187,55078,Menominee County,Wisconsin
3188,55079,Milwaukee County,Wisconsin
3189,55081,Monroe County,Wisconsin
3190,55083,Oconto County,Wisconsin
3191,55085,Oneida County,Wisconsin
3192,55087,Outagamie County,Wisconsin
3193,55089,Ozaukee County,Wisconsin
3194,55091,Pepin County,Wisconsin
3195,55093,Pierce County,Wisconsin
3196,55095,Polk County,Wisconsin
3197,55097,Portage County,Wisconsin
3198,55099,Price County,Wisconsin
3199,55101,Racine County,Wisconsin
3200,55103,Richland County,Wisconsin
3201,55105,Rock County,Wisconsin
3202,55107,Rusk County,Wisconsin
3203,55109,St. Croix County,Wisconsin
3204,55111,Sauk County,Wisconsin
3205,55113,Sawyer County,Wisconsin
3206,55115,Shawano County,Wisconsin
3207,55117,Sheboygan County,Wisconsin
3208,55119,Taylor County,Wisconsin
3209,55121,Trempealeau County,Wisconsin
3210,55123,Vernon County,Wisconsin
3211,55125,Vilas County,Wisconsin
3212,55127,Walworth County,Wisconsin
3213,55129,Washburn County,Wisconsin
3214,55131,Washington County,Wisconsin
3215,55133,Waukesha County,Wisconsin
3216,55135,Waupaca County,Wisconsin
3217,55137,Waushara County,Wisconsin
3218,55139,Winnebago County,Wisconsin
3219,55141,Wood County,Wisconsin
3220,56001,Albany County,Wyoming
3221,56003,Big Horn County,Wyoming
3222,56005,Campbell County,Wyoming
3223,56007,Carbon County,Wyoming
3224,56009,Converse County,Wyoming
3225,56011,Crook County,Wyoming
3226,56013,Fremont County,Wyoming
3227,56015,Goshen County,Wyoming
3228,56017,Hot Springs County,Wyoming
3229,56019,Johnson County,Wyoming
3230,56021,Laramie County,Wyoming
3231,56023,Lincoln County,Wyoming
3232,56025,Natrona County,Wyoming
3233,56027,Niobrara County,Wyoming
3234,56029,Park County,Wyoming
3235,56031,Platte County,Wyoming
3236,56033,Sheridan County,Wyoming
3237,56035,Sublette County,Wyoming
3238,56037,Sweetwater County,Wyoming
3239,56039,Teton County,Wyoming
3240,56041,Uinta County,Wyoming
3241,56043,Washakie County,Wyoming
3242,56045,Weston County,Wyoming
